Lab-ref,highCal,lowCal,Concatenate
Wk-26801,32883,31128,32883-31128
Wk-35717,32877,31547,32877-31547
Wk-24762,29440,28614,29440-28614
Wk-31090,29168,28436,29168-28436
Wk-31089,28735,27890,28735-27890
Wk-42830,25516,24700,25516-24700
Wk-26800,25220,24310,25220-24310
Wk-26802,25170,24280,25170-24280
Wk-24765,23791,23241,23791-23241
Wk-17840,22981,22520,22981-22520
Wk-50396,45235,42305,45235-42305
Wk-32146,32749,30735,32749-30735
Wk-32147,31067,29731,31067-29731
Wk-50393,30947,30154,30947-30154
Wk-50394,29995,29234,29995-29234
Wk-35712,29685,28945,29685-28945
Wk-35714,29610,28870,29610-28870
Wk-35713,29588,28815,29588-28815
Wk-30678,29110,28545,29110-28545
Wk-32145,29030,27750,29030-27750
Wk-30679,28884,28201,28884-28201
Wk-30677,28750,28030,28750-28030
OxA-25710,28604,27876,28604-27876
Wk-32144,28196,27097,28196-27097
Wk-30676,27746,27258,27746-27258
Wk-44416,25879,25322,25879-25322
Wk-50390,23874,23272,23874-23272
Wk-31088,23768,22961,23768-22961
Wk-42831,23704,23036,23704-23036
