YEAR,ID,X,Y,Z
05,2745,131.045,93.463,42.029
05,2686,131.183,93.33,42.129
05,2744,131.245,93.306,42.145
05,2746,131.29,93.349,42.145
05,2685,131.243,93.415,42.147
05,2683,131.105,93.369,42.15
05,2687,131.193,93.367,42.155
05,2748,131.018,93.719,42.155
05,2202,131.144,93.748,42.158
05,2747,130.992,93.761,42.175
05,2551,131.312,93.513,42.183
05,2552,131.42,93.623,42.183
05,2840,129.152,92.612,42.183
05,2842,129.13,92.631,42.187
05,2684,131.255,93.228,42.188
05,2424,131.135,93.352,42.192
05,2408,131.266,93.283,42.201
05,2453,131.321,93.305,42.201
05,2199,131.218,93.715,42.203
05,2289,131.252,93.575,42.21
05,2201,131.176,93.764,42.214
05,2302,131.259,93.55,42.217
05,2200,131.283,93.558,42.219
05,2204,131.191,93.674,42.219
05,2425,131.161,93.377,42.224
05,2759,128.974,92.58,42.225
05,2836,130.32,93.486,42.225
05,2285,131.108,93.45,42.228
05,2873,130.124,93.505,42.228
05,2917,129.667,93.769,42.228
05,2396,131.021,93.351,42.23
05,2700,129.321,92.823,42.23
05,2395,131.056,93.399,42.231
05,2638,129.466,92.884,42.231
05,2639,129.404,92.859,42.231
05,2362,131.275,93.37,42.232
05,2698,129.338,92.786,42.232
05,2645,129.243,92.777,42.233
05,2695,129.3,93.05,42.233
05,2760,129.089,92.494,42.233
05,2758,129.093,92.803,42.235
05,2286,131.254,93.468,42.236
05,2977,129.485,93.686,42.238
05,2766,129.017,92.451,42.239
05,3044,130.334,93.765,42.239
05,3047,130.641,93.214,42.239
05,2762,129,92.561,42.24
05,2493,129.348,92.799,42.242
05,2642,129.169,92.788,42.243
05,2839,130.197,93.644,42.243
05,3003,130.173,93.23,42.243
05,2484,129.482,92.641,42.244
05,2454,131.483,93.42,42.245
05,2979,129.508,93.662,42.245
05,2765,128.922,92.419,42.246
05,3002,130.465,93.388,42.246
05,2869,130.833,93.614,42.247
05,2976,129.529,93.497,42.247
05,3005,130.231,93.903,42.247
05,2460,129.578,92.624,42.248
05,2763,129.007,92.74,42.248
05,2423,131.307,93.155,42.249
05,2567,129.42,93.036,42.249
05,2969,130.375,93.361,42.249
05,2461,129.673,92.602,42.25
05,3033,130.359,93.285,42.25
05,2111,129.167,92.534,42.253
05,2753,130.155,93.593,42.253
05,2968,130.715,93.573,42.253
05,2980,129.476,93.675,42.253
05,3048,130.785,93.249,42.253
05,2644,129.284,92.634,42.254
05,2910,130.427,93.422,42.254
05,2981,129.419,93.573,42.255
05,2091,129.178,92.506,42.256
05,2697,129.354,92.573,42.256
05,2701,129.128,92.755,42.256
05,2915,129.661,93.971,42.256
05,2571,129.115,92.532,42.257
05,2696,129.091,93.049,42.257
05,1054,131.006,93.735,42.258
05,2470,129.446,92.48,42.258
05,2929,130.853,93.328,42.258
05,2570,129.186,92.572,42.259
05,2752,130.081,93.647,42.259
05,2962,130.504,93.401,42.259
05,2485,129.614,92.575,42.26
05,2495,129.428,92.473,42.26
05,2561,129.419,93.008,42.26
05,2702,129.04,92.838,42.26
05,2641,129.115,93.037,42.261
05,2643,129.182,92.683,42.261
05,2110,129.149,92.498,42.263
05,3045,130.804,93.23,42.263
05,2287,131.343,93.433,42.264
05,2756,129.327,92.429,42.264
05,2912,130.26,93.197,42.264
05,1118,131.091,93.55,42.265
05,2256,129.08,92.528,42.265
05,2757,129.297,92.418,42.265
05,3004,130.17,93.551,42.265
05,3034,130.341,93.122,42.265
05,1120,131.132,93.617,42.266
05,2974,129.129,93.408,42.266
05,2294,129.045,92.546,42.267
05,2884,129.216,93.269,42.267
05,2925,129.506,93.854,42.267
05,2926,129.681,93.691,42.267
05,2112,129.01,92.358,42.268
05,2251,129.105,92.58,42.268
05,2464,129.74,92.747,42.268
05,2699,129.402,93.022,42.268
05,2841,129.097,93.036,42.268
05,2161,129.08,92.504,42.269
05,2837,130.384,93.387,42.269
05,2880,129.057,93.108,42.269
05,2924,129.566,93.969,42.269
05,1449,131.148,93.656,42.27
05,3030,130.666,93.261,42.27
05,3035,129.843,93.824,42.27
05,2004,129.285,92.534,42.272
05,2093,129.005,92.344,42.272
05,2103,129.327,92.764,42.272
05,2219,129.043,92.479,42.272
05,2469,129.496,92.403,42.272
05,2472,129.333,92.759,42.272
05,2487,129.65,92.708,42.272
05,2489,129.678,92.795,42.272
05,2927,129.553,93.729,42.272
05,3012,129.836,93.595,42.272
05,2361,130.959,93.467,42.273
05,2467,129.558,92.808,42.273
05,2560,129.599,92.944,42.273
05,2923,129.402,93.169,42.273
05,3029,130.603,93.201,42.273
05,2109,129.13,92.507,42.274
05,2288,131.322,93.318,42.274
05,2911,130.471,93.389,42.274
05,2963,130.364,93.216,42.274
05,2106,129.166,92.726,42.275
05,2249,129.252,92.663,42.275
05,2399,129.254,92.381,42.275
05,2491,129.566,92.752,42.275
05,2694,129.478,92.369,42.275
05,2832,130.115,93.467,42.275
05,2913,130.339,93.235,42.275
05,2916,129.742,93.773,42.275
05,3024,130.599,93.232,42.275
05,3025,130.664,93.287,42.275
05,2426,130.212,93.498,42.276
05,2870,130.71,93.581,42.276
05,2928,129.62,93.309,42.276
05,3011,129.889,93.75,42.276
05,2463,129.681,92.716,42.277
05,2492,129.535,92.779,42.277
05,2494,129.357,92.661,42.277
05,2568,129.445,92.806,42.277
05,2637,129.807,92.682,42.277
05,2363,130.198,93.754,42.278
05,2431,129.459,92.44,42.278
05,2881,129.047,93.115,42.278
05,2092,129.127,92.494,42.279
05,2496,129.528,92.433,42.279
05,2218,129.059,92.718,42.28
05,1119,131.156,93.578,42.281
05,2152,129.277,92.606,42.281
05,2462,129.695,92.703,42.281
05,2473,129.649,92.58,42.281
05,2094,129.079,92.325,42.282
05,2290,129.108,92.703,42.282
05,2465,129.673,92.785,42.282
05,2468,129.59,92.744,42.282
05,2556,130.426,93.164,42.282
05,2922,129.303,93.324,42.282
05,1451,130.988,93.407,42.283
05,2003,129.326,92.511,42.283
05,2085,129.322,92.777,42.283
05,2089,129.161,92.61,42.283
05,2095,129.135,92.355,42.283
05,2108,129.159,92.566,42.283
05,2252,129.15,92.837,42.283
05,2398,130.239,93.492,42.283
05,2834,130.5,93.35,42.283
05,2970,129.74,93.434,42.283
05,3006,130.448,93.869,42.283
05,1541,131.246,93.38,42.284
05,2027,129.377,92.48,42.284
05,2107,129.159,92.6,42.284
05,2211,129.072,92.524,42.284
05,2257,129.138,92.977,42.284
05,2291,129.115,92.651,42.284
05,2488,129.746,92.73,42.284
05,1391,131.036,93.505,42.285
05,2114,129.138,92.371,42.285
05,2250,129.187,92.991,42.285
05,2254,129.002,92.678,42.285
05,2471,129.314,92.664,42.285
05,2483,129.611,92.529,42.285
05,2564,129.793,92.707,42.285
05,2569,129.274,92.952,42.285
05,2754,130.151,93.833,42.285
05,2764,128.961,92.442,42.285
05,2921,129.427,93.309,42.285
05,2964,130.573,93.233,42.285
05,3023,130.518,93.123,42.285
05,2490,129.649,92.894,42.286
05,2565,129.8,92.612,42.286
05,2640,129.591,93.028,42.286
05,2871,130.716,93.475,42.286
05,2255,129.075,92.597,42.287
05,2293,128.986,92.619,42.287
05,2455,130.202,93.249,42.287
05,2872,130.781,93.437,42.287
05,2097,129.285,92.327,42.288
05,2214,129.231,92.857,42.288
05,3046,130.666,93.07,42.288
05,1055,131.044,93.556,42.289
05,2102,129.446,92.531,42.289
05,2253,129.144,92.659,42.289
05,2558,130.201,93.218,42.289
05,3049,130.67,93.072,42.289
05,1542,131.294,93.222,42.29
05,2007,129.265,92.394,42.29
05,2090,129.126,92.533,42.29
05,3028,130.491,93.179,42.29
05,2364,130.112,93.931,42.291
05,2370,129.41,92.785,42.291
05,2562,129.711,92.994,42.291
05,2691,130.476,93.584,42.291
05,2853,129.713,93.651,42.291
05,1543,131.135,93.342,42.292
05,2292,129.041,92.66,42.292
05,2486,129.722,92.694,42.292
05,2914,130.283,93.146,42.292
05,2113,129.099,92.334,42.293
05,2212,129.049,92.758,42.293
05,2082,129.157,92.33,42.294
05,2557,130.328,93.228,42.294
05,2838,130.484,93.256,42.294
05,2920,129.51,93.221,42.294
05,2015,129.224,92.58,42.295
05,2566,129.577,93.045,42.295
05,2879,129.3,93.138,42.295
05,2883,129.138,93.155,42.295
05,3036,129.948,93.625,42.295
05,2096,129.185,92.344,42.296
05,2553,130.408,93.215,42.296
05,2028,129.223,92.55,42.297
05,2761,129.822,92.99,42.297
05,2888,129.47,93.112,42.297
05,1392,131.502,93.474,42.299
05,1996,129.509,92.772,42.299
05,2833,130.5,93.255,42.299
05,2975,129.695,93.266,42.299
05,1445,131.253,93.305,42.3
05,2855,129.07,93.425,42.3
05,1053,131.174,93.646,42.301
05,1387,131.384,93.257,42.301
05,1450,130.977,93.477,42.301
05,2008,129.499,92.581,42.301
05,2017,129.3,92.622,42.301
05,2164,128.926,92.419,42.301
05,2966,130.269,93.13,42.301
05,2005,129.141,92.442,42.302
05,2084,129.442,92.548,42.302
05,2367,130.86,93.44,42.302
05,2555,130.33,93.162,42.302
05,2755,129.833,92.985,42.302
05,2088,129.155,92.735,42.303
05,2213,129.381,92.945,42.303
05,2406,129.394,93.062,42.303
05,2830,130.789,93.474,42.303
05,1446,131.475,93.182,42.304
05,918,130.877,93.509,42.305
05,1389,131.013,93.435,42.305
05,2002,129.405,92.404,42.305
05,2209,129.12,92.65,42.305
05,2919,129.663,93.243,42.305
05,2972,129.755,93.367,42.305
05,2153,129.118,92.632,42.306
05,2366,130.189,93.545,42.306
05,2369,129.77,92.758,42.306
05,2466,129.67,92.947,42.306
05,2845,129.165,93.317,42.306
05,2882,129.011,93.154,42.306
05,3026,130.742,93.224,42.306
05,1388,131.509,93.422,42.307
05,2162,129.009,92.502,42.307
05,2365,130.197,93.484,42.307
05,2374,129.551,92.939,42.307
05,2831,130.763,93.513,42.307
05,2559,129.811,93.01,42.308
05,2648,129.912,93.702,42.308
05,2751,130.657,93.332,42.308
05,2973,129.695,93.425,42.308
05,2857,128.899,93.136,42.309
05,2875,129.496,93.237,42.309
05,1117,131.194,93.484,42.31
05,1447,130.968,93.441,42.31
